poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,fte_grade,methodology,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,source,internal,partisan,race_id,cycle,office_type,seat_number,seat_name,election_date,stage,nationwide_batch,ranked_choice_reallocated,party,answer,candidate_id,candidate_name,pct
81373,1692,KAConsulting LLC,1920,Citizens United,KAConsulting,337,The Polling Company Inc.,B/C,IVR/Live Phone,Michigan,10/27/22,10/29/22,,,,164432,501,lv,,lv,,10/31/22 14:16,,https://www.politico.com/newsletters/playbook-pm/2022/10/31/affirmative-action-gets-a-chilly-scotus-reception-00064259,,False,REP,8969,2022,Governor,0,,11/8/22,general,False,False,REP,Dixon,28659,Tudor M. Dixon,41.0
81351,1347,Cygnal Political,,,Cygnal,67,Cygnal,B+,IVR/Online/Text,Michigan,10/25/22,10/29/22,,,,164375,1543,lv,,lv,True,10/30/22 13:19,,https://www.cygn.al/cygnal-momentum-tracking-poll-michigan-statewide-10-30-22/,,False,,8969,2022,Governor,0,,11/8/22,general,False,False,REP,Dixon,28659,Tudor M. Dixon,44.0
81388,176,Glengariff Group Inc.,"167,168",Detroit News | WDIV-TV,Glengariff Group,117,Glengariff Group,B/C,Live Phone,Michigan,10/26/22,10/28/22,,,,164456,600,lv,,lv,,10/31/22 19:29,,https://www.clickondetroit.com/decision-2022/2022/10/31/poll-where-michigan-voters-stand-on-whitmer-dixon-1-week-before-election/,,False,,8969,2022,Governor,0,,11/8/22,general,False,False,REP,Dixon,28659,Tudor M. Dixon,43.1
81333,1347,Cygnal Political,,,Cygnal,67,Cygnal,B+,IVR/Online/Text,Michigan,10/23/22,10/27/22,,,,164343,1822,lv,,lv,True,10/28/22 10:54,,https://www.cygn.al/cygnal-momentum-tracking-poll-michigan-statewide-10-28-22/,,False,,8969,2022,Governor,0,,11/8/22,general,False,False,REP,Dixon,28659,Tudor M. Dixon,44.3
81265,1347,Cygnal Political,,,Cygnal,67,Cygnal,B+,IVR/Online/Text,Michigan,10/21/22,10/25/22,,,,164089,1378,lv,,lv,True,10/26/22 10:24,,https://www.cygn.al/cygnal-momentum-tracking-poll-michigan-statewide-10-26-22/,,False,,8969,2022,Governor,0,,11/8/22,general,False,False,REP,Dixon,28659,Tudor M. Dixon,44.5
81221,1347,Cygnal Political,,,Cygnal,67,Cygnal,B+,IVR/Online/Text,Michigan,10/19/22,10/23/22,,,,163928,1459,lv,,lv,True,10/24/22 13:44,,https://www.cygn.al/cygnal-momentum-tracking-poll-michigan-statewide-10-24-22/,,False,,8969,2022,Governor,0,,11/8/22,general,False,False,REP,Dixon,28659,Tudor M. Dixon,44.2
81209,1250,Trafalgar Group,1857,Michigan News Source,Trafalgar Group,338,Trafalgar Group,A-,IVR/Online/Text/Live Phone,Michigan,10/18/22,10/21/22,,,,163896,1079,lv,,lv,,10/24/22 09:12,,https://www.thetrafalgargroup.org/news/mi-gov-1023/,,False,REP,8969,2022,Governor,0,,11/8/22,general,False,False,REP,Dixon,28659,Tudor M. Dixon,47.9
81195,1347,Cygnal Political,,,Cygnal,67,Cygnal,B+,IVR/Online/Text,Michigan,10/17/22,10/21/22,,,,163841,1904,lv,,lv,True,10/22/22 11:15,,https://www.cygn.al/cygnal-momentum-tracking-poll-michigan-statewide-10-22-22/,,False,,8969,2022,Governor,0,,11/8/22,general,False,False,REP,Dixon,28659,Tudor M. Dixon,43.5
81174,317,Mitchell,801,MIRS News Service,Mitchell Research & Communications,213,Mitchell Research & Communications,C-,IVR,Michigan,10/19/22,10/19/22,,,,163787,541,lv,,lv,,10/21/22 10:45,,https://www.nationalreview.com/corner/republicans-close-gap-in-michigan-and-minnesota-governor-races-polls-say/,,False,,8969,2022,Governor,0,,11/8/22,general,False,False,REP,Dixon,28659,Tudor M. Dixon,47.0
81151,1347,Cygnal Political,,,Cygnal,67,Cygnal,B+,IVR/Online/Text,Michigan,10/15/22,10/19/22,,,,163714,1793,lv,,lv,True,10/20/22 11:21,,https://www.cygn.al/cygnal-momentum-tracking-poll-michigan-statewide-10-20-22/,,False,,8969,2022,Governor,0,,11/8/22,general,False,False,REP,Dixon,28659,Tudor M. Dixon,43.6
81220,1361,SSRS,143,CNN,SSRS,297,SSRS,C,Live Phone/Online,Michigan,10/13/22,10/18/22,,,,163926,901,rv,,rv,,10/24/22 13:44,,https://www.cnn.com/2022/10/24/politics/cnn-poll-governor-races/index.html,,False,,8969,2022,Governor,0,,11/8/22,general,False,False,REP,Dixon,28659,Tudor M. Dixon,41.0
81220,1361,SSRS,143,CNN,SSRS,297,SSRS,C,Live Phone/Online,Michigan,10/13/22,10/18/22,,,,163927,651,lv,,lv,,10/24/22 13:44,,https://www.cnn.com/2022/10/24/politics/cnn-poll-governor-races/index.html,,False,,8969,2022,Governor,0,,11/8/22,general,False,False,REP,Dixon,28659,Tudor M. Dixon,46.0
81084,1347,Cygnal Political,"1915,1916",Michigan Association of Broadcasters | White Law PLLC,Cygnal,67,Cygnal,B+,Live Phone/Text,Michigan,10/12/22,10/14/22,,,,163421,640,lv,,lv,,10/17/22 10:22,,https://twitter.com/granthermes/status/1581801674447851520,,False,,8969,2022,Governor,0,,11/8/22,general,False,False,REP,Dixon,28659,Tudor M. Dixon,43.6
81106,1102,Emerson College Polling Society,,,Emerson College,88,Emerson College,A-,IVR/Online/Text,Michigan,10/12/22,10/14/22,,,,163486,580,lv,,lv,,10/18/22 09:36,,https://emersoncollegepolling.com/michigan-2022-gov-whitmer-holds-five-point-lead-over-tudor-dixon-majority-plan-to-vote-yes-for-proposal-3-on-abortion/,,False,,8969,2022,Governor,0,,11/8/22,general,False,False,REP,Dixon,28659,Tudor M. Dixon,43.8
81194,1642,Wick,,,Wick,284,Wick,A/B,IVR/Online,Michigan,10/8/22,10/14/22,,,,163839,1136,lv,,lv,,10/22/22 11:15,,https://wickinsights.com/predicting2022-part-4/,,False,,8969,2022,Governor,0,,11/8/22,general,False,False,REP,Dixon,28659,Tudor M. Dixon,47.9
81059,235,InsiderAdvantage,1457,Center for American Greatness,InsiderAdvantage,243,Opinion Savvy/InsiderAdvantage,B,,Michigan,10/11/22,10/12/22,,,,163294,550,lv,,lv,,10/13/22 18:15,,https://amgreatness.com/2022/10/13/insider-advantage-whitmer-and-dixon-tied-in-michigan-governors-race-joe-bidens-approval-down-to-37-percent/,,False,,8969,2022,Governor,0,,11/8/22,general,False,False,REP,Dixon,28659,Tudor M. Dixon,43.9
81038,143,EPIC/MRA,"177,685",Detroit Free Press | WJRT (ABC) TV 12,EPIC-MRA,84,EPIC-MRA,B,Live Phone,Michigan,10/6/22,10/12/22,,,,163250,600,lv,,lv,,10/13/22 09:20,,https://www.freep.com/story/news/politics/elections/2022/10/13/poll-leads-shrink-whitmer-nessel-benson-election/69558793007/,,False,,8969,2022,Governor,0,,11/8/22,general,False,False,REP,Dixon,28659,Tudor M. Dixon,38.0
80979,568,YouGov,133,CBS News,YouGov,391,YouGov,B+,Online,Michigan,10/3/22,10/6/22,,,,163048,1285,lv,,lv,,10/9/22 13:35,,https://www.cbsnews.com/news/wisconsin-senate-ron-johnson-mandela-barnes-opinion-poll-2022-10-09/,,False,,8969,2022,Governor,0,,11/8/22,general,False,False,REP,Dixon,28659,Tudor M. Dixon,47.0
80918,176,Glengariff Group Inc.,"167,168",Detroit News | WDIV-TV,Glengariff Group,117,Glengariff Group,B/C,Live Phone,Michigan,9/26/22,9/29/22,,,,162772,600,lv,,lv,,10/4/22 09:34,,https://www.detroitnews.com/story/news/politics/michigan/2022/10/04/whitmer-leads-dixon-17-points-new-poll/69535918007/,,False,,8969,2022,Governor,0,,11/8/22,general,False,False,REP,Dixon,28659,Tudor M. Dixon,32.2
80881,1250,Trafalgar Group,,,Trafalgar Group,338,Trafalgar Group,A-,IVR/Online/Text/Live Phone,Michigan,9/24/22,9/28/22,,,,162683,1075,lv,,lv,,9/30/22 12:48,,https://www.thetrafalgargroup.org/wp-content/uploads/2022/09/MI-Gen-Gov-Poll-Report-0930.pdf,,False,REP,8969,2022,Governor,0,,11/8/22,general,False,False,REP,Dixon,28659,Tudor M. Dixon,45.1
80746,143,EPIC/MRA,"177,685",Detroit Free Press | WJRT (ABC) TV 12,EPIC-MRA,84,EPIC-MRA,B,Live Phone,Michigan,9/15/22,9/19/22,,,,161871,600,lv,,lv,,9/22/22 09:30,,https://www.freep.com/story/news/politics/elections/2022/09/22/whitmer-dixon-governor-michigan-poll-results/69508001007/,,False,,8969,2022,Governor,0,,11/8/22,general,False,False,REP,Dixon,28659,Tudor M. Dixon,39.0
80702,143,EPIC/MRA,"710,801,1884",Governmental Consultant Services | MIRS News Service | Life Insurance Association of Michigan,EPIC-MRA,84,EPIC-MRA,B,IVR/Live Phone,Michigan,9/7/22,9/13/22,,,,161672,800,lv,,lv,,9/20/22 10:27,,https://home.mirs.news/blogs/post/whitmer-up-11-in-new-mirs-gcsi-life-insurance-association-of-michigan-poll,,False,,8969,2022,Governor,0,,11/8/22,general,False,False,REP,Dixon,28659,Tudor M. Dixon,40.0
79966,176,Glengariff Group Inc.,"167,168",Detroit News | WDIV-TV,Glengariff Group,117,Glengariff Group,B/C,,Michigan,8/29/22,9/1/22,,,,160299,600,lv,,lv,,9/7/22 09:16,,https://www.detroitnews.com/story/news/politics/2022/09/07/gov-gretchen-whitmers-lead-over-tudor-dixon-grows-fall-campaign-begins-poll-finds/8002088001/,,False,,8969,2022,Governor,0,,11/8/22,general,False,False,REP,Dixon,28659,Tudor M. Dixon,35.0
79862,1250,Trafalgar Group,1857,Michigan News Source,Trafalgar Group,338,Trafalgar Group,A-,IVR/Online/Text/Live Phone,Michigan,8/22/22,8/25/22,,,,160001,1080,lv,,lv,,8/26/22 14:13,,https://www.thetrafalgargroup.org/wp-content/uploads/2022/08/MI-Gen-Gov-Poll-Report-0826.pdf,,False,REP,8969,2022,Governor,0,,11/8/22,general,False,False,REP,Dixon,28659,Tudor M. Dixon,45.3
79855,143,EPIC/MRA,,,EPIC-MRA,84,EPIC-MRA,B,Live Phone,Michigan,8/18/22,8/23/22,,,,159977,600,lv,,lv,,8/26/22 09:11,,https://www.freep.com/story/news/politics/elections/2022/08/26/poll-whitmer-leading-dixon-by-double-digits-for-michigan-governor/65419492007/?gnt-cfr=1,,False,,8969,2022,Governor,0,,11/8/22,general,False,False,REP,Dixon,28659,Tudor M. Dixon,39.0
79788,1702,Blueprint Polling,,,Blueprint Polling,470,Chism Strategies,,Live Phone,Michigan,8/15/22,8/16/22,,,,159714,611,lv,,lv,,8/18/22 20:58,,https://chismstrategies.com/whitmer-with-solid-lead-in-race-for-governor/,,False,,8969,2022,Governor,0,,11/8/22,general,False,False,REP,Dixon,28659,Tudor M. Dixon,38.7
79773,1699,Fabrizio/Impact,42,AARP,"Fabrizio, Lee & Associates/Impact Research",694,Fabrizio Lee & Associates/Impact Research,,Live Phone/Text,Michigan,8/8/22,8/14/22,,,,159695,500,lv,,lv,,8/18/22 09:53,,https://www.aarp.org/content/dam/aarp/research/surveys_statistics/politics/2022/aarp-michigan-2022-elections-voter-survey.doi.10.26419-2Fres.00550.014.pdf,,False,,8969,2022,Governor,0,,11/8/22,general,False,False,REP,Dixon,28659,Tudor M. Dixon,46.0
79354,176,Glengariff Group Inc.,"167,168",Detroit News | WDIV-TV,Glengariff Group,117,Glengariff Group,B/C,Live Phone,Michigan,7/5/22,7/8/22,,,,157886,600,lv,,lv,,7/13/22 10:57,,https://www.clickondetroit.com/news/michigan/2022/07/13/poll-where-michigan-voters-stand-on-races-for-governor-secretary-of-state-attorney-general/?utm_source=twitter&utm_medium=social&utm_campaign=snd&utm_content=wdiv4,,False,,8969,2022,Governor,0,,11/8/22,general,False,False,REP,Dixon,28659,Tudor M. Dixon,40.3
79072,1166,Target Insyght,801,MIRS News Service,Target Insyght,330,Target Insyght,C/D,,Michigan,5/26/22,5/27/22,,,,156108,600,rv,,rv,,6/2/22 10:09,,https://www.deadlinedetroit.com/articles/30633/poll_michigan_gov_whitmer_has_commanding_lead_over_potential_republican_challengers_but,,False,,8969,2022,Governor,0,,11/8/22,general,False,False,REP,Dixon,28659,Tudor M. Dixon,21.0
78246,176,Glengariff Group Inc.,"167,168",Detroit News | WDIV-TV,Glengariff Group,117,Glengariff Group,B/C,Live Phone,Michigan,1/3/22,1/7/22,,,,151644,600,lv,,lv,,1/11/22 09:52,,https://www.clickondetroit.com/news/politics/2022/01/11/poll-michigan-gov-whitmers-job-approval-trends-up-as-2022-election-looms/,538.0,False,,8969,2022,Governor,0,,11/8/22,general,False,False,REP,Dixon,28659,Tudor M. Dixon,31.0
